Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
26DTA0026Z,1,MATUTINO,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 26,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,FEDERAL,26,SONORA,29,GUAYMAS,325,VÍCAM (SWITCH),CALLE TENOCHTITLAN,0,CALLE IGNACIO ALLENDE,CALLE MARIANO MATAMOROS,CALLE CUAUHTEMOC,13,NINGUNO,85510,4380570,4380570,,,,,,,,,,,,110:17:18.34 W,27:38:8.38 N,-110.288428,27.635662
26DPT0005O,2,VESPERTINO,PLANTEL CONALEP 048. HERMOSILLO II,MEDIA SUPERIOR,MEDIA SUPERIOR,PROFESIONAL TÉCNICO BACHILLER,PÚBLICO,ESTATAL,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALZADA DE LOS ANGELES,0,CALLE LUIS DONALDO COLOSIO MURRIETA,CALLE QUINTA ROSA,CALLE QUINTA DE LOS MIRLOS,176,LAS QUINTAS,83240,2168043,2168043,,,,,,,,,,,,110:59:45.34 W,29:5:5.01 N,-110.995928,29.084724
26DPT0005O,1,MATUTINO,PLANTEL CONALEP 048. HERMOSILLO II,MEDIA SUPERIOR,MEDIA SUPERIOR,PROFESIONAL TÉCNICO BACHILLER,PÚBLICO,ESTATAL,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALZADA DE LOS ANGELES,0,CALLE LUIS DONALDO COLOSIO MURRIETA,CALLE QUINTA ROSA,CALLE QUINTA DE LOS MIRLOS,176,LAS QUINTAS,83240,2168043,2168043,,,,,,,,,,,,110:59:45.34 W,29:5:5.01 N,-110.995928,29.084724
26DST0003N,1,MATUTINO,ADOLFO LOPEZ MATEOS,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,CALLE ALVARO OBREGON,0,CALLE ALVARO OBREGON,NINGUNO NINGUNO,NINGUNO NINGUNO,242,PARQUE INDUSTRIAL DE NOGALES,84094,6909348,6909348,,,362,390,752,11,8,15,21,21,,110:55:48.37 W,31:19:56.77 N,-110.930102,31.332435
26DST0003N,2,VESPERTINO,ADOLFO LOPEZ MATEOS,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,CALLE ALVARO OBREGON,0,CALLE ALVARO OBREGON,NINGUNO NINGUNO,NINGUNO NINGUNO,242,PARQUE INDUSTRIAL DE NOGALES,84094,6909348,6909348,,,362,390,752,11,8,15,21,21,,110:55:48.37 W,31:19:56.77 N,-110.930102,31.332435
26DST0010X,1,MATUTINO,ESCUELA SECUNDARIA TECNICA NUM. 10,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,33,HUATABAMPO,1,HUATABAMPO,CALLE HERMOSILLO,0,NINGUNO NINGUNO,CALLE SIN REFERENCIA,CALLE 10 DE ABRIL,15,LOS JURIS,85977,4269203,4269203,,,181,182,363,10,7,17,18,18,,109:37:52.56 W,26:48:59.00 N,-109.631268,26.81639
26DST0042P,1,MATUTINO,ESCUELA SECUNDARIA TECNICA NUM. 42,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,55,SAN LUIS RÍO COLORADO,23,NUEVO MICHOACÁN (ESTACIÓN RIÍTO),CALLE MARCO ANTONIO FELIX,0,CALLE IGNACIO SOTO,CALLE LAZARO CARDENAS,CALLE 3,1,NINGUNO,83530,5180255,5180255,,,119,115,234,2,3,5,9,9,,114:57:42.00 W,32:9:58.00 N,-114.961667,32.166111
26DSU0027W,4,DISCONTINUO,CENTRO DE INVESTIGACION EN ALIMENTACION Y DESARROLLO,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,FEDERAL,26,SONORA,30,HERMOSILLO,669,LA VICTORIA,CALLE SALAMANCA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,83304,2892400,2892400,,,,,,,,,,,,110:53:21.00 W,29:7:20.00 N,-110.889167,29.122222
26EPR0262O,1,MATUTINO,JESUS AGUIRRE DURAN,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,26,SONORA,18,CAJEME,1,CIUDAD OBREGÓN,CALLE COAHUILA,0,CALLE IGNACIO ZARAGOZA,CALLE COAHUILA,NINGUNO NINGUNO,259,REAL CAMPESTRE,85000,4133792,4133792,,,283,279,562,5,15,20,20,20,,109:56:23.14 W,27:29:14.27 N,-109.939762,27.487298
26PPR0228N,1,MATUTINO,COLEGIO CASTELO II,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE BLVR. LUCRECIA RUIZ DE AYON,127,CALLE JOSE MARIA ESCRIBA,CALLE VILLA FLORENTINA,CALLE LUZ VALENCIA,363,VILLAS DEL PALMAR,83105,2843705,2843705,,,134,133,267,0,11,11,11,11,,110:58:37.89 W,29:8:58.23 N,-110.977191,29.149507
